"university","long","lat"
"http://dbpedia.org/resource/Adiban_Institute_of_Higher_Education",51.2792,35.7686
"http://dbpedia.org/resource/Adichunchanagiri_Institute_of_Technology",75.7968,13.3414
"http://dbpedia.org/resource/Adikavi_Nannaya_University",81.7827,17.0171
"http://dbpedia.org/resource/Aditanar_College_of_Arts_and_Science",78.1185,8.50981
"http://dbpedia.org/resource/Adithya_Institute_of_Technology",77.0365,11.1161
"http://dbpedia.org/resource/Aditi_Mahavidyalaya",77.0368,28.7956
"http://dbpedia.org/resource/Aditya_College",72.8644,19.1283
"http://dbpedia.org/resource/Aditya_Engineering_College",82.0692,17.0894
"http://dbpedia.org/resource/Admas_University_College–Addis_Ababa",38.7865,9.02356
"http://dbpedia.org/resource/Administrative_Staff_College_of_India",78.4594,17.415
"http://dbpedia.org/resource/Admiral_Makarov_National_University_of_Shipbuilding",32.0023,46.9879
"http://dbpedia.org/resource/Adnan_Menderes_University",27.8547,37.8547
"http://dbpedia.org/resource/Adolfo_Ibáñez_University",-70.518,-33.486
"http://dbpedia.org/resource/Adoni_Arts_and_science_college",77.273,15.624
"http://dbpedia.org/resource/Adrian_College",-84.0584,41.899
"http://dbpedia.org/resource/Advance_TAFE",147.635,-37.825
"http://dbpedia.org/resource/Advanced_Learning_and_Research_Institute",8.9585,46.0107
"http://dbpedia.org/resource/Advanced_Technology_&_Education_Park",-117.831,33.7167
"http://dbpedia.org/resource/Advanced_Technology_College",-81.0983,29.2318
"http://dbpedia.org/resource/Adventist_International_Institute_of_Advanced_Studies",120.968,14.2043
"http://dbpedia.org/resource/Adventist_University_of_France_–_Collonges",6.15806,46.1369
"http://dbpedia.org/resource/Adıyaman_University",38.2317,37.7439
"http://dbpedia.org/resource/Aegis_Global_Academy",76.9903,11.0131
"http://dbpedia.org/resource/Aeronautical_College_of_Bangladesh",-90.3874,23.8749
"http://dbpedia.org/resource/Afghan_Defense_University",69.0315,34.5542
"http://dbpedia.org/resource/Africa_Nazarene_University",36.7899,-1.40142
"http://dbpedia.org/resource/Africa_University",32.6011,-18.8975
"http://dbpedia.org/resource/African_Bible_University_(Uganda)",32.5647,0.240556
"http://dbpedia.org/resource/African_Institute_for_Mathematical_Sciences",18.4706,-34.1072
"http://dbpedia.org/resource/African_Rural_University",30.8194,0.942222
"http://dbpedia.org/resource/Aga_Khan_University",67.0747,24.8928
"http://dbpedia.org/resource/Agnel_Polytechnic",72.9913,19.0774
"http://dbpedia.org/resource/Agra_College",78.0037,27.1871
"http://dbpedia.org/resource/Agricultural_College_and_Research_Institute,_Killikulam",77.8596,8.70339
"http://dbpedia.org/resource/Agricultural_Cooperative_College",126.873,37.6588
"http://dbpedia.org/resource/Agricultural_State_University_of_Moldova",28.809,47.062
"http://dbpedia.org/resource/Agricultural_University_of_Athens",23.7056,37.9839
"http://dbpedia.org/resource/Agricultural_University_of_Berlin",13.3782,52.5297
"http://dbpedia.org/resource/Agricultural_University_of_Havana",-82.1486,22.9983
"http://dbpedia.org/resource/Agricultural_University_of_Iceland",-21.7697,64.5611
"http://dbpedia.org/resource/Agricultural_University_of_Kraków",19.9258,50.0644
"http://dbpedia.org/resource/Agricultural_University_of_Tirana",19.7711,41.3622
"http://dbpedia.org/resource/Agriculture_Training_Institute",91.1015,22.9415
"http://dbpedia.org/resource/Agro_ParisTech",2.34833,48.8397
"http://dbpedia.org/resource/Agrocampus_Ouest",-1.7064,48.1135
"http://dbpedia.org/resource/Agropolis_International",3.87083,43.6458
"http://dbpedia.org/resource/Ahfad_University_for_Women",32.4715,15.6448
"http://dbpedia.org/resource/Ahir_College_Rewari",76.6072,28.1933
"http://dbpedia.org/resource/Ahlia_University",50.593,26.2359
"http://dbpedia.org/resource/Ahmadu_Bello_University",7.7,11.0667
"http://dbpedia.org/resource/Ahmedabad_Management_Association",72.5414,23.0297
"http://dbpedia.org/resource/Ahmedabad_Textile_Industry's_Research_Association",72.5408,23.0322
"http://dbpedia.org/resource/Ahmet_Yesevi_University",68.3011,43.2892
"http://dbpedia.org/resource/Ahram_Canadian_University",30.8828,29.9353
"http://dbpedia.org/resource/Ahsanullah_University_of_Science_and_Technology",90.4069,23.7636
"http://dbpedia.org/resource/Aichi_Bunkyo_University",137.007,35.3
"http://dbpedia.org/resource/Aichi_Bunkyo_Women's_College",136.789,35.2553
"http://dbpedia.org/resource/Aichi_Gakuin_University",137.047,35.162
"http://dbpedia.org/resource/Aichi_Gakusen_College",137.144,34.9722
"http://dbpedia.org/resource/Aichi_Gakusen_University",137.144,34.972
"http://dbpedia.org/resource/Aichi_Institute_of_Technology",137.112,35.1836
"http://dbpedia.org/resource/Aichi_Kiwami_College_of_Nursing",136.811,35.3167
"http://dbpedia.org/resource/Aichi_Konan_College",136.881,35.3564
"http://dbpedia.org/resource/Aichi_Medical_College_for_Physical_and_Occupational_Therapy",136.964,35.1452
"http://dbpedia.org/resource/Aichi_Medical_University",137.047,35.1925
"http://dbpedia.org/resource/Aichi_Mizuho_College",137.188,35.1252
"http://dbpedia.org/resource/Aichi_Mizuho_Junior_College",136.922,35.1272
"http://dbpedia.org/resource/Aichi_Prefectural_College_of_Nursing_&_Health",136.929,35.2835
"http://dbpedia.org/resource/Aichi_Prefectural_University",137.087,35.182
"http://dbpedia.org/resource/Aichi_Prefectural_University_of_Fine_Arts_and_Music",137.07,35.1694
"http://dbpedia.org/resource/Aichi_Sangyo_University",137.223,34.921
"http://dbpedia.org/resource/Aichi_Sangyo_University_Junior_College",137.222,34.9205
"http://dbpedia.org/resource/Aichi_Shinshiro_Otani_University",137.535,34.9136
"http://dbpedia.org/resource/Aichi_Shukutoku_Junior_College",137.004,35.1601
"http://dbpedia.org/resource/Aichi_Shukutoku_University",137.032,35.1574
"http://dbpedia.org/resource/Aichi_Toho_University",136.987,35.1701
"http://dbpedia.org/resource/Aichi_University",137.387,34.7404
"http://dbpedia.org/resource/Aichi_University_of_Education",137.002,35.1201
"http://dbpedia.org/resource/Aichi_University_of_Technology",137.194,34.832
"http://dbpedia.org/resource/Aichi_University_of_Technology_Automotive_Junior_College",139.804,35.8422
"http://dbpedia.org/resource/Aikoku_Gakuen_University",140.162,35.666
"http://dbpedia.org/resource/Aims_Community_College",-104.764,40.4118
"http://dbpedia.org/resource/Ain_Shams_University",31.285,30.077
"http://dbpedia.org/resource/Ain_Shams_University_Faculty_of_Medicine",31.2812,30.0759
"http://dbpedia.org/resource/Aino_College",135.58,34.8432
"http://dbpedia.org/resource/Air_Force_Institute_of_Technology",-84.083,39.783
"http://dbpedia.org/resource/Air_Force_Technical_College,_Bangalore",77.5212,13.0517
"http://dbpedia.org/resource/Airlangga_University",112.758,-7.27167
"http://dbpedia.org/resource/Airlink_International_Aviation_School",121.001,14.5206
"http://dbpedia.org/resource/Aitken_House",-66.6405,45.9466
"http://dbpedia.org/resource/Aix-Marseille_University",5.35778,43.2936
"http://dbpedia.org/resource/Aizawl_Theological_College",92.735,23.7616
"http://dbpedia.org/resource/Ajay_Binay_Institute_of_Technology",85.8516,20.4696
"http://dbpedia.org/resource/Ajay_Kumar_Garg_Engineering_College",77.5018,28.6773
"http://dbpedia.org/resource/Ajou_University",127.046,37.2829
"http://dbpedia.org/resource/Akademia_Lospuma_Training_Institute",19.0442,50.2592
"http://dbpedia.org/resource/Akatsi_College_of_Education",0.801803,6.12559
"http://dbpedia.org/resource/Akershus_University_College",11.0487,59.9751
"http://dbpedia.org/resource/Akhtar_Saeed_Medical_and_Dental_College",74.1899,31.3733
"http://dbpedia.org/resource/Akita_Municipal_Junior_College_of_Arts_and_Crafts",140.091,39.6865
"http://dbpedia.org/resource/Akita_Nutrition_Junior_College",140.157,39.7161
"http://dbpedia.org/resource/Akita_University_of_Art",140.091,39.6865
"http://dbpedia.org/resource/Akita_University_of_Nursing_and_Welfare",140.554,40.281
"http://dbpedia.org/resource/Aklan_Polytechnic_College",122.755,11.5968
"http://dbpedia.org/resource/Aklan_State_University",122.334,11.6383
"http://dbpedia.org/resource/Aksaray_University",33.9761,38.326
"http://dbpedia.org/resource/Akshaya_College_of_Engineering_and_Technology",77.0111,10.81
"http://dbpedia.org/resource/Akula_Sree_Ramulu_College_of_Engineering",81.6597,16.7635
"http://dbpedia.org/resource/Al-Ameen_College_of_Law",77.5868,12.9544
"http://dbpedia.org/resource/Al-Ameen_College_of_Pharmacy",77.5866,12.9542
"http://dbpedia.org/resource/Al-Ameen_Medical_College",75.6688,16.8258
"http://dbpedia.org/resource/Al-Ameen_Pre_University_College",77.5874,12.9533
"http://dbpedia.org/resource/Al-Azhar_University",31.2625,30.0458
"http://dbpedia.org/resource/Al-Azhar_University_–_Gaza",34.4367,31.515
"http://dbpedia.org/resource/Al-Baath_University",36.7086,34.7128
"http://dbpedia.org/resource/Al-Farabi_Kazakh_National_University",76.9267,43.2525
"http://dbpedia.org/resource/Al-Furat_University",40.1106,35.3189
"http://dbpedia.org/resource/Al-Jamiatul_Ahlia_Darul_Ulum_Moinul_Islam",-91.8076,22.5046
"http://dbpedia.org/resource/Al-Mustansiriya_University",44.3897,33.3386
"http://dbpedia.org/resource/Al-Muthana_University",45.2889,31.3386
"http://dbpedia.org/resource/Al-Quds_Open_University",35.1994,31.9131
"http://dbpedia.org/resource/Al-Quds_University",35.2614,31.7559
"http://dbpedia.org/resource/Al-Rashid_Islamic_Institute",-74.6361,45.0356
"http://dbpedia.org/resource/Al-Watania_Poultry_Institute_of_Technology_(WIT)",43.7202,26.1636
"http://dbpedia.org/resource/Al-Yamamah_Private_University",46.5944,24.8636
"http://dbpedia.org/resource/Al-Zahra_College_for_Women",58.4845,23.6128
